HS4,Name4,,
2835,次磷酸盐、亚磷酸盐及磷酸盐；多磷酸盐，不论是否已有化学定义,,
2836,碳酸盐；过碳酸盐；含氨基甲酸铵的商品碳酸铵,,
2837,氰化物、氧氰化物及氰络合物,,
2839,硅酸盐；商品碱金属硅酸盐,,
2840,硼酸盐及过硼酸盐,,
2841,金属酸盐及过金属酸盐,,
2842,其他无机酸盐及过氧酸盐（包括不论是否已有化学定义的硅铝酸盐），但叠氮化物除外,,
2843,胶态贵金属；贵金属的无机或有机化合物，不论是否已有化学定义；贵金属汞齐,,
2844,放射性化学元素及放射性同位素（包括可裂变或可转换的化学元素及同位素）及其化合物；含上述产品的混合物及残渣,,
2845,品目2844以外的同位素；这些同位素的无机或有机化合物，不论是否已有化学定义,,
2846,稀土金属、钇、钪及其混合物的无机或有机化合物,,
2847,过氧化氢，不论是否用尿素固化,,
2849,碳化物，不论是否已有化学定义,,
2850,氢化物、氮化物、叠氮化物、硅化物及硼化物，不论是否已有化学定义，但可归入品目2849的碳化物除外,,
2852,汞的无机或有机化合物，不论是否已有化学定义，汞齐除外,,
2853,磷化物，不论是否已有化学定义，但磷铁除外；其他无机化合物（包括蒸馏水、导电水及类似的纯净水）；液态空气（不论是否除去稀有气体）；压缩空气；汞齐，但贵金属汞齐除外,,
2901,无环烃,,
2902,环烃,,
2903,烃的卤化衍生物,,
2904,烃的磺化、硝化或亚硝化衍生物，不论是否卤化,,
2905,无环醇及其卤化、磺化、硝化或亚硝化衍生物,,
2906,环醇及其卤化、磺化、硝化或亚硝化衍生物,,
2907,酚；酚醇,,
2908,酚及酚醇的卤化、磺化、硝化或亚硝化衍生物,,
2909,醚、醚醇、醚酚、醚醇酚、过氧化醇、过氧化醚、过氧化酮（不论是否已有化学定义）及其卤化、磺化、硝化或亚硝化衍生物,,
2910,三节环环氧化物、环氧醇、环氧酚、环氧醚及其卤化、磺化、硝化或亚硝化衍生物,,
2911,缩醛及半缩醛，不论是否含有其他含氧基，及其卤化、磺化、硝化或亚硝化衍生物,,
2912,醛，不论是否含有其他含氧基；环聚醛；多聚甲醛,,
2913,品目2912产品的卤化、磺化、硝化或亚硝化衍生物,,
2914,酮及醌，不论是否含有其他含氧基，及其卤化、磺化、硝化或亚硝化衍生物,,
2915,饱和无环一元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,,
2916,不饱和无环一元羧酸、环一元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,,
2917,多元羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,,
2918,含附加含氧基的羧酸及其酸酐、酰卤化物、过氧化物和过氧酸以及它们的卤化、磺化、硝化或亚硝化衍生物,,
2919,磷酸脂及其盐，包括乳磷酸盐，以及它们的卤化、磺化、硝化或亚硝化衍生物,,
2920,其他非金属无机酸酯（不包括卤化氢的酯）及其盐以及它们的卤化、磺化、硝化或亚硝化衍生物,,
2921,氨基化合物,,
2922,含氧基氨基化合物,,
2923,季铵盐及季铵碱；卵磷脂及其他磷氨基类脂,,
2924,羧基酰胺基化合物；碳酸酰胺基化合物,,
2925,羧基酰亚胺化合物（包括糖精及其盐）及亚胺基化合物,,
2926,腈基化合物,,
2927,重氮化合物、偶氮化合物及氧化偶氮化合物,,
2928,肼（联氨）及胲（羟胺）的有机衍生物,,
2929,其他含氮基化合物,,
2930,有机硫化合物,,
2931,其他有机?无机化合物,,
2932,仅含氧杂原子的杂环化合物,,
2933,仅含有氮杂原子的杂环化合物,,
2934,核酸及其盐，不论是否已有化学定义；其他杂环化合物,,
2935,磺（酰）胺,,
2936,天然或合成再制的维生素原和维生素（包括天然浓缩物）及其主要用作维生素的衍生物，上述产品的混合物，不论是否溶于溶剂,,
2937,天然或合成再制的激素、前列腺素、血栓烷、白细胞三烯及其衍生物和结构类似物，包括主要用作激素的改性链多肽,,
2938,天然或合成再制的苷（配糖物）及其盐、醚、酯和其他衍生物,,
2939,天然或合成再制的生物碱及其盐、醚、酯和其他衍生物,,
2940,化学纯糖，但蔗糖、乳糖、麦芽糖、葡萄糖及果糖除外；糖醚、糖缩醛、糖酯及其盐，但不包括品目2937、2938及2939的产品,,
2941,抗菌素,,
2942,其他有机化合物,,
3001,已干燥的器官疗法用腺体及其他器官，不论是否制成粉末；器官疗法用腺体、其他器官及其分泌物的提取物；肝素及其盐；其他供治疗或预防疾病用的其他品目未列名的人体或动物制品,,
3002,人血；治病、防病或诊断用动物血制品；抗血清、其他血份及免疫制品，不论是否修饰通过生物工艺加工制得；疫苗、毒素、培养微生物（不包括酵母）及类似产品,,
3003,两种或两种以上成分混合而成的治病或防病药品（不包括品目3002、3005或3006的货品），未配定剂量或制成零售包装,,
3004,由混合或非混合产品构成的治病或防病用药品（不包括品目3002、3005或3006的货品），已配定剂量（包括制成皮肤摄入形式的）或制成零售包装,,
3005,软填料、纱布、绷带及类似物品（例如，敷料、橡皮膏、泥罨剂），经过药物浸涂或制成零售包装供医疗、外科、牙科或兽医用,,
